title,datetime,description,like,dislike,channelId
Chợ nổi Cái Răng - Cần Thơ | Gái Bắc du lịch miền Tây | Yến Vi Vu,2020-05-09T02:29:46Z,"Trong tập cuối của series miền Tây, mình sẽ dẫn các bạn đến Chợ nổi Cái Răng, Lò Hủ Tiếu ở Cần Thơ, cùng xem xem cảnh sinh hoạt của người dân...",45,0,UCPHGHpTO17gxM82WE0daqlQ
"Sợ virus Corona, khách Vũ Hán xin ở lại Cần Thơ | VTC1",2020-01-31T08:03:41Z,VTC1 | Du khách người Trung Quốc đến từ thành phố Vũ Hán đang đi du lịch tại Cần Thơ muốn xin gia hạn visa để ở lại Việt Nam. ——————————...,409,109,UCZcCmWhvK0gfThyWRmRerDQ
"Cầu Cần Thơ, Việt Nam, 25.11.2017(15)",2017-11-25T23:12:03Z,"Nhớ miền Tây, từ Tây Đô về Sài Gòn.",334,73,UCZ9qX1sanfyvlqjpJSfzpJA
CẦN THƠ: TUYÊN 9 THÁNG TÙ VỚI ĐỐI TƯỢNG ĐĂNG TIN THẤT THIỆT VỀ COVID-19 | VTC9,2020-05-12T01:55:04Z,VTC9 | CẦN THƠ: TUYÊN 9 THÁNG TÙ VỚI ĐỐI TƯỢNG ĐĂNG TIN THẤT THIỆT VỀ COVID-19 | VTC9.,1,0,UCMzKakDPY8pZECObchFTDjA
Thời Sự 16H00 Chiều 12.05 | Đà Nẵng Khôi Phục Hoạt Động Du Lịch | VTV NEWS,2020-05-12T09:18:04.000Z,Thời Sự 16H00 Chiều 12.05 | Đà Nẵng Khôi Phục Hoạt Động Du Lịch | VTV NEWS VTV NEWS là kênh tin tức online chính thức của Đài Truyền Hình Việt Nam.,12,3,UC1HyDIb2OTBbvShOrPWg4kA
"Đà Nẵng: Tìm ra kẻ bốc đầu xe, rồi tung clip thách thức Công an | THDT",2020-05-12T06:53:18.000Z,"Click Theo dõi (Subscribe) để nhận thông tin tin tức, khoa giáo, giải trí, ẩm thực... đậm chất miền Tây trên kênh Youtube của Truyền hình Đồng Tháp....",119,8,UCDIl_FogyBJAUI3QVyLet8w
ĂN SẬP ĐÀ NẴNG || tập 1 || Đến Đà Nẵng thì phải ăn món gì ?,2019-02-04T03:00:02.000Z,"Sau bao kì hứa hẹn thì vlog Đà Nẵng cũng đã bắt đầu rồi, trong video tập 1 này thì mình đã giới thiệu các quán sau : - Bánh tráng cuốn thịt heo Bi Mỹ...",1837,111,UCeB29zGi9E5SdtTsUoEnEAg
Vũ &quot;nhôm&quot; và hai cựu Chủ tịch Đà Nẵng không oan | VTC Now,2020-05-12T09:30:05.000Z,"VTC Now | Chiều 12/5, Tòa phúc thẩm xét xử bị cáo Phan Văn Anh Vũ (Vũ ""nhôm""), 2 cựu chủ tịch UBND TP Đà Nẵng Văn Hữu Chiến, Trần Văn Minh và 17 bị ...",8,2,UCL9-pEHNBs3N4r2bMoXdLJA
4 Ngày Ăn Sập Đà Nẵng Cùng Thỏ Và Alex - Đi Đà Nẵng Thì Ăn Gì ? Tlex Couple | Thỏ Vlog,2019-05-19T13:00:02.000Z,"Hi cả nhà video lần này sẽ là 1 vlog du lịch đà nẵng nữa , 4 Ngày Ăn Sập Đà Nẵng Cùng Thỏ Và Alex - Đi Đà Nẵng Thì Ăn Gì ? có lẽ sẽ có ích cho mọi...",7859,217,UCfnwPEf10QmrwDPPMSizjEA
Đà Nẵng &amp; Hội An Cùng Chloe  ♡ DANANG &amp; HOI AN TRAVEL DIARY | Chloe Nguyen,2017-07-12T13:03:17.000Z,ENG CC COMING SOON! WATCH IN HD! ♡ Vì mùa hè là những chuyến đi ~~~ Hello cả nhà! Lại là một video travel vlog đâyyy và video lần này rất đậm chất ...,8237,108,UCxoErupGtPCyb-45WR_-MFA
DU LỊCH ĐÀ NẴNG đến 9 Địa Điểm Vui và Đẹp Nhất Đà Nẵng. 9 Most Beautiful and Fun Places in Da Nang,2020-01-01T11:00:02.000Z,"VACA truyền hình thực tế tại 9 điạ điểm nổi tiếng nhất Đà Nằng. Bà Nà Hills, Cầu Rồng, Cầu Tình Yêu, Chùa Linh Ứng, Ngũ Hành Sơn, Nhà Thờ Con Gà...",2274,144,UCWnOG09q7JXW-cZQrNEGQWg
Top 5 món ngon nên ăn thử ở Đà Nẵng (Oops Banana),2019-07-25T12:06:33.000Z,Top 5 món ngon nên thử ở Đà Nẵng (Oops Banana) ▻ Fanpage: https://www.facebook.com/mcOopsBanana ▻ Instagram: ...,17553,710,UCuygBqDmC3r93ABO6BUMj6A
Giọng ca vàng Đà Nẵng mà phải đi bán kẹo kéo mưu sinh thế này đây,2018-03-31T02:00:32.000Z,Giọng ca vàng Đà Nẵng mà phải đi bán kẹo kéo mưu sinh thế này đây.,38283,2857,UCMMPGC9Ow2FmYE6ogg48GFg
Vũ &quot;nhôm&quot; và hai cựu Chủ tịch Đà Nẵng không oan | VTC1,2020-05-12T09:37:57.000Z,"VTC1 | Chiều 12/5, Tòa phúc thẩm xét xử bị cáo Phan Văn Anh Vũ, 2 cựu chủ tịch UBND TP Đà Nẵng Văn Hữu Chiến, Trần Văn Minh và 17 bị cáo khác đã đưa.",5,1,UCZcCmWhvK0gfThyWRmRerDQ
HNAG - ĂN THEO YÊU CẦU CỦA FAN TẠI ĐÀ NẴNG CÙNG HẠNH CHEE &amp; CHI SALLY,2019-07-08T13:25:21.000Z,"Liên hệ quảng cáo, hợp tác - Huy: quangcao.schannel@gmail.com hoặc http://fb.com/huy.nl Các bạn ơi, Like page HÔM NAY ĂN GÌ để cập nhật thông tin mới ...",11909,142,UCLCnaHLXHpHz1atQkyi7ZsQ
Cùng Quang Vinh Ăn Sập Đà Nẵng - Quang Vinh Passport,2019-07-04T13:24:57.000Z,"Đà Nẵng đã đẹp, lại còn nhiều món ngon xao xuyến lòng người. Không ghé thì thôi, chứ mà đã đến Đà Nẵng rồi thì cả nhà nhất định không được...",2025,42,UCEtFx9C7d3BDqbVRDHfwDEg
Người Dân Nhìn Vàng Lại Tránh Tại Đà Nẵng | VTV NEWS,2020-05-12T05:55:02.000Z,VTV NEWS là kênh tin tức online chính thức của Đài Truyền Hình Việt Nam. ▻ Ấn Đăng ký ngay: ...,4,1,UC1HyDIb2OTBbvShOrPWg4kA
ĂN XÔI BÀ BÉ VÀ HẢI SẢN TƯƠI NGON SIÊU RẺ Ở ĐÀ NẴNG // SERIES NINH EATING ĂN GÌ #49,2018-07-25T02:29:03.000Z,"Trong tập này, Ninh đã ăn: - Xôi bà Bé - Đối diện 27 Ngô Gia Tự, Quận Hải Châu, Đà Nẵng - Quán Phương Đông Bên Ô Cửa Bistro - 6 Thanh Thủy, Thanh Bình, ...",8258,175,UCfuqGU270K146MNlL5vrOlw
#010 | PIMPLE POPPING asmr | Slow and Music | Hương Đà Nẵng | akne Behandlung,2020-05-10T21:00:05.000Z,"This is new channel of ""Acne treatment Hương official"". Please subscribe my new channel to watch latest videos. Guide how to get acne cores, get effective acne ...",1519,206,UCViR3aeehZPMnx9w49DhJPw
Chợ Cồn Đà Nẵng - ĂN NO NÊ |Du lịch Đà Nẵng #1,2017-08-24T08:58:53.000Z,"Đà Nẵng, ĂN NO NÊ ở Chợ Cồn Đà Nẵng - thiên đường ăn uống | Du lịch Đà Nẵng. Viet Nam trip, food, travel. ▻Facebook: ...",10913,351,UCZE88kYvCKUKjM-G0uc8Duw
Thành Phố Đà Nẵng Về Đêm - Thành Phố Đáng Sống Nhất Việt Nam,2017-08-09T11:59:07.000Z,Thành Phố Đà Nẵng Về Đêm - Thành Phố Đáng Sống Nhất Việt Nam Được Xuất Bản Bởi Flycam 4K - Tháng 8 Năm 2017. Nghiêm Cấm Sao Chép Dưới Mọi ...,1925,72,UCCXutdxN6MbRY6Hj9M1HsyA
Vợ Chồng Vinh Râu Trip Đà Nẵng Cùng Xem U23 | Luong Minh Trang Official,2020-01-11T16:45:29.000Z,"Hi Chào mọi người! Lại là Trang đây ❤️ Nhân dịp đạt được cột mốc nút Bạc Youtube đầu tiên trong sự nghiệp làm Vlog của mình, Vợ chồng mình cùng...",5664,111,UCSo4q8zOlxO2Fv_boQZnSww
Misthy ăn gì ở Đà Nẵng ?? || THY ƠI MÀY ĐI ĐÂU ĐẤY ???,2019-05-14T10:43:38.000Z,Mấy ông muốn biết ngày đầu tiên đi Đà Nẵng cùng cả nhà tui ăn gì hông nè ? Xem để biết đi nà ...,17832,235,UCctVE0w6y1AAwx7ueaN7bhg
Bãi Biển Đà Nẵng chật kín du khách mùa nắng nóng | DU LỊCH ĐÀ NẴNG,2019-06-17T07:53:59.000Z,Đến du lịch Đà Nẵng thì các bãi biển Đà Nẵng luôn trở thành điểm thu hút hàng nghìn du khách mùa nắng nóng nhằm tránh không khí oi bức ở thành phố....,1085,160,UCJkCXOjDzzTYT8ERYbpX3hw
Quý lắm Dâu Phú Thượng đến từ Hải Phòng mới được truyền nghề Xôi xéo #hnp,2020-05-12T04:00:04Z,Hà Nội Phố: Quý lắm Dâu Phú Thượng đến từ Hải Phòng mới được truyền nghề Xôi xéo #xôixéo #xôiphúthượng #hànội địa chỉ số 27 phố hàng Cót...,478,15,UCPwScwGEE_CXVclsjQQGdUA
THÁNH LỄ TRUYỀN CHỨC PHÓ TẾ GIÁO PHẬN HẢI PHÒNG (17h00 12-5-2020),2020-05-12T09:51:32Z,"Nhà thờ Chính tòa Hải Phòng Kính mời cộng đoàn xem thêm Audio book ""Hãy nghe tôi kể"" của Đức Tổng Giám mục Giuse Vũ Văn Thiên: ...",7,2,UCkdw5hcV9_kN35i5Gayem-w
Food For Good #655: Ai nhớ Hương vị Hải Phòng chính hiệu giữa Q7 hãy đến đây thử nhé,2020-05-11T04:30:41Z,ColorMan #FoodForGood Quý vị khán giả của Color Man có ai quê ở Hải Phòng không ạ? Nếu có thì chắc chắn sẽ rất nhớ món đặc sản bánh đa cua này đây....,859,59,UCMMPGC9Ow2FmYE6ogg48GFg
24 tiếng ĂN SẬP HẢI PHÒNG - Du lịch Hải Phòng ăn gì ở đâu ?,2019-05-11T13:00:02Z,"Một chuyến đi ngắn ngủi, đi ăn cũng không quá nhiều quán nhưng cũng hy vọng sẽ giúp được các bạn có địa điểm ăn ngon khi đến Hải Phòng nhé! ---...",2127,75,UCeB29zGi9E5SdtTsUoEnEAg
Tour đồ ăn Hải Phòng CỰC NGON mà chỉ NGƯỜI DÂN BẢN ĐỊA mới biết!,2020-01-04T12:58:05Z,"chisally #phytotreecleansingfoam #suaruamatphytotree Thực ra quê ngoại mình ở Hải Phòng, cũng thích ra đây lắm nên mình hay đi ăn lang thang ở nhiều nơi, ...",7692,145,UC8_yUmCo2v3sLFhYboti3gQ
HẢI PHÒNG ƠIII! SAO TOÀN ĐỒ ĂN NGON THẾ ❤️ 24h TRỐN CHỒNG CÙNG HỘI BẠN THÂN 🚘,2020-03-19T13:29:09Z,"Hải Yến Babe là nơi để chúng mình chia sẻ những câu chuyện thú vị về cuộc sống, tình yêu, ăn uống và tỉ thứ khác nữa :X. Nhấn SUBSCRIBE & cả chuông...",5227,48,UCXPl_fODLSejK_Gn3tfIybg
Hải Phòng Ơi! | Duy Mạnh | Official Music Video,2019-08-15T11:58:45Z,Hải Phòng Ơi! | Duy Mạnh | Official Music Video #haiphongoi #duymanh #haiphongoiremix ............................................................................................................,23843,747,UCE21y9cs7yFX7gHJDrNX4ow
THÁNH LỄ TRUYỀN CHỨC PHÓ TẾ GIÁO PHẬN HẢI PHÒNG (17h00 12-5-2020),2020-05-12T10:09:14Z,Trung tâm Mục vụ giáo phận Hải Phòng. http://gphaiphong.org/tin-quan-trong/thong-bao-ve-viec-chuan-bi-truyen-chuc-pho-te-5429.html Cám ơn quý vị đã theo ...,0,0,UC55QU3ifTx7nhcIQXyoGcog
Định Làm Loạn À ? Hải Phòng Ơi Chúng Mình Tới Rồi Đây - Ăn Sập Hải Phòng | Thỏ Vlog ft Lmlstory,2019-10-28T13:00:15Z,"Ôi trời đất ơi , cái hội chị em lmlstory này định về làm loạn cả Hải Phòng luôn này , ăn sập cả thành phố rồi tăng cân chết mất mọi người ạ...",5052,105,UCfnwPEf10QmrwDPPMSizjEA
Phố hoa Bằng Lăng Tím ở đâu tại Hải Phòng,2020-05-10T12:55:11Z,"Hoa Bằng Lăng Tím thường nở vào mùa hè cùng với hoa Phượng trên những tuyến phố ở Hải Phòng. Đường Cầu Đất là một tuyến phố buôn bán sầm uất,...",35,0,UC-xs6B-Bra63LCxOkEa5Xjg
LML Vlog | Lần Đầu Review FoodTour Hải Phòng - Ăn Sập Hải Phòng Cùng Biệt Đội Bánh Bèo,2019-10-28T13:00:13Z,LML Vlog | Lần Đầu Review FoodTour Hải Phòng - Ăn Sập Hải Phòng Cùng Biệt Đội Bánh Bèo Vlog đi Hải Phòng thật là nhí nhố trên kênh chú thỏ ...,3758,66,UCvYzLa6rXApyJfx6OMbQyag
"HÔM NAY ĂN GÌ - 2 MIỀN GẶP NHAU, CHÉN SẠCH CẢ HẢI PHÒNG ! (Ep.1)",2018-03-24T14:06:55Z,"Like page HÔM NAY ĂN GÌ cập nhật những món ăn, nhưng thông tin hậu trường cực hay nhé : https://www.facebook.com/hnag.schannel/ HÔM NAY ĂN GÌ - 2 ...",14016,208,UC9Pj0EUibBF295jWHRSDJqg
Vô số CONTAINER tại khu cảng KHỦNG của thành phố HảI PHÒNG,2020-04-09T13:00:29Z,Choáng ngợp với lượng hàng lưu thông ở khu vực cảng Hải Phòng. Có lẽ đây cũng chính là lý do mà Thành phố Hoa Phượng Đỏ còn có cái tên gọi khác...,840,22,UCBoaINfdmR0pzzV5aImQ4_A
Hải Phòng ☑ Người khổng lồ thức giấc,2019-11-06T19:35:16Z,Xem thêm video về Hải Phòng : 1: Hải Phòng ☑ Người khổng lồ thức giấc https://www.youtube.com/watch?v=4SOJEsJ-0iU&t=3s 2: VinHome Imperia Hải ...,115,0,UCWr3oVVCNVdc-3fZz47U7mw
TÔI NGƯỜI HẢI PHÒNG | Xuân Bình Official | (Music Video 4k ),2018-11-26T05:27:59Z,TÔI NGƯỜI HẢI PHÒNG Nhạc sĩ : Xuân Bình Phối Khí: Huyền Trung Đạo diễn: Chung Nguyễn Hãy Subscribe kênh của Xuân Bình nhé Following Xuân Bình ...,2095,69,UC0puPWfV2BGm2DaKOevlVEw
THÁNH LỄ TRUYỀN CHỨC PHÓ TẾ GIÁO PHẬN HẢI PHÒNG (17h00 12-5-2020),2020-05-12T09:53:14Z,Trung tâm Mục vụ giáo phận Hải Phòng. http://gphaiphong.org/tin-quan-trong/thong-bao-ve-viec-chuan-bi-truyen-chuc-pho-te-5429.html Cám ơn quý vị đã theo ...,8,0,UC55QU3ifTx7nhcIQXyoGcog
Những bài hát hay nhất của Nguyễn Hải Phong 2017,2017-03-17T03:10:19Z,Những bài hát hay nhất của Nguyễn Hải Phong 2017 9 ca khúc haynhất được Nguyễn Hải Phong sáng tác và thể hiện. Chuyên thiết kế website chuẩn seo: ...,909,56,UC9uv3R2BWCPTEyCP2rXcuCQ
Quảng Ninh và Hải Phòng 2020 || Tập 3 : 2 thế lực mới lên Ngôi 🇻🇳 || Việt TV,2020-04-10T04:18:02Z,Cảm ơn các bạn đã đến với kênh Viêt TV ☑️ hãy đăng ký ☑️ like Để ủng hộ mình nhé Mong mọi người giúp...,317,12,UCcjXNtNALg9-wHyeiM2Y_IA
HẢI PHÒNG Vs CẦN THƠ Nơi Đâu Đáng Sống Hơn ? | Việt TV,2019-12-15T04:21:51Z,Cảm ơn các bạn đã đến với kênh Viêt TV ☑️ hãy đăng ký ☑️ like Để ủng hộ mình nhé Hãy giúp mình đạt 5.000...,266,15,UCcjXNtNALg9-wHyeiM2Y_IA
Vinhomes Marina Khu Đô Thị Tráng Lệ Bậc Nhất Hải Phòng Chuẩn Bị Bàn Giao Nhà | Check in,2020-02-29T06:21:29Z,"Vinhomes Marina Khu Đô Thị Tráng Lệ Bậc Nhất Hải Phòng Chuẩn Bị Bàn Giao Nhà | Check in Chào các bạn, hôm nay CHECK IN sẽ giới thiệu cho các bạn ...",260,10,UC-4M0wKDkgHoQHKGoeMg1Lg
10 ca khúc hay về Hà Nội,2016-06-16T05:37:52Z,,5902,1044,UCHesRz3i_yEPBhXgM9WvXgw
Quý lắm Dâu Phú Thượng đến từ Hải Phòng mới được truyền nghề Xôi xéo #hnp,2020-05-12T04:00:04Z,Hà Nội Phố: Quý lắm Dâu Phú Thượng đến từ Hải Phòng mới được truyền nghề Xôi xéo #xôixéo #xôiphúthượng #hànội địa chỉ số 27 phố hàng Cót...,478,15,UCPwScwGEE_CXVclsjQQGdUA
MÔN HÓA HỌC - LỚP 11 | LUYỆN TẬP: ANCOL VÀ PHENOL (TIẾT 1) | 16H30 NGÀY 12.05.2020 | HANOITV,2020-05-12T09:30:07Z,Học trên truyền hình: Môn Hóa học - Lớp 11 Bài giảng: Luyện tập: Ancol và Phenol (tiết 1) Giáo viên: Trần Mạnh Cường - THPT Kim Liên 1. Học trực tiếp...,22,0,UC7_mgS3z22z0WhR7COJ8E2w
MÔN TOÁN - LỚP 7 | ĐẠI SỐ - ĐA THỨC MỘT BIẾN | 9H15 NGÀY 12.05.2020 | HANOITV,2020-05-12T02:15:00Z,Học trên truyền hình: Môn Toán - Lớp 7 Bài giảng: Đại số - Đa thức một biến Giáo viên: Nguyễn Thị Thanh Thúy - THCS Cầu Giấy 1. Học trực tiếp khi...,140,42,UC7_mgS3z22z0WhR7COJ8E2w
Heerenveen đàm phán với CLB Hà Nội về Đoàn Văn Hậu | VFF kỷ luật 11 cầu thủ U21 Đồng Tháp vì cá độ,2020-05-12T06:17:12Z,Nhiều khả năng Heerenveen sẽ vẫn giữ mức lương 450.000 Euro trước thuế của Đoàn Văn Hậu. Với mức lương này Văn Hậu trở thành cầu thủ hưởng mức...,218,9,UCabsTV34JwALXKGMqHpvUiA
Quán PHỞ CUỐN ở Hà Nội NINH YÊU THÍCH NHẤT!! // Ninh Eating ăn gì series,2020-05-11T03:00:27Z,"Không biết có phải là hàng đầu tiên sáng chế ra món phở cuốn trên làng Ngũ Xã không, nhưng thời điểm hiện tại nếu hỏi Ninh đâu là hàng phở cuốn...",7624,119,UCfuqGU270K146MNlL5vrOlw
Hà Nội: Nổ bình gas khiến 3 người bị thương | VTC14,2020-05-11T14:08:47Z,"VTC14 | HÀ NỘI: NỔ BÌNH GAS KHIẾN 3 NGƯỜI BỊ THƯƠNG Chiều nay 11/ 5, ba bình gas đã phát nổ tại một căn nhà đang cho thuê trên phố Cửa Nam, quận ...",13,2,UCinkijG72G87sn-mtaFJTbA
MÔN TOÁN - LỚP 6 | TÌM GIÁ TRỊ PHÂN SỐ CỦA MỘT SỐ CHO TRƯỚC | 8H30 NGÀY 12.05.2020 | HANOITV,2020-05-12T01:30:00Z,Học trên truyền hình: Môn Toán - Lớp 6 Bài giảng: Tìm giá trị phân số của một số cho trước Giáo viên: Tạ Thị Thu Hương - THCS Giảng Võ 1. Học trực...,196,51,UC7_mgS3z22z0WhR7COJ8E2w
MÔN TIẾNG VIỆT - LỚP 5 | LTVC: TRẬT TỰ AN NINH | 20H30 NGÀY 11.05.2020 | HANOITV,2020-05-11T13:30:07Z,Học trên truyền hình: Môn Tiếng Việt - Lớp 5 Bài giảng: Luyện từ và câu Mở rộng vốn từ: Trật tự - An ninh Giáo viên: Đỗ Thanh Thủy - Tiểu học Dịch...,545,187,UC7_mgS3z22z0WhR7COJ8E2w
Hà Nội Trong Tôi | Cảnh Đẹp Việt Nam | Flycam 4K,2019-03-16T12:55:05Z,"Hà Nội Trong Tôi | Cảnh Đẹp Việt Nam | Flycam 4K ➥ (Mô tả) Tôi gọi Hà Nội là thành phố đến từ kiếp trước của mình, bởi chỉ có thể gắn bó với...",1285,38,UCCXutdxN6MbRY6Hj9M1HsyA
MÔN HÓA HỌC - LỚP 11 | PHENOL | 15H45 NGÀY 12.05.2020 | HANOITV,2020-05-12T08:45:01Z,Học trên truyền hình: Môn Hóa học - Lớp 11 Bài giảng: Phenol Giáo viên: Nguyễn Thị Minh - THPT Việt Đức 1. Học trực tiếp khi phát sóng - Các chương trình...,42,4,UC7_mgS3z22z0WhR7COJ8E2w
MÔN LỊCH SỬ - LỚP 10| TÌNH HÌNH KT-VH VIỆT NAM TỪ TK X - ĐẦU TK XIX | 15H00 NGÀY 12.05.2020| HANOITV,2020-05-12T08:00:03Z,"Học trên truyền hình: Môn Lịch sử - Lớp 10 Bài giảng:Ôn tập chủ đề: Tình hình kinh tế, văn hóa Việt Nam từ thế kỉ X đến đầu thế kỉ XIX Giáo...",33,8,UC7_mgS3z22z0WhR7COJ8E2w
Đỉnh cao ẩm thực BÚN LÒNG phố cổ HÀ NỘI ẩn sâu trong ngõ #hnp,2020-05-09T03:59:58Z,"Hà Nội Phố: Mời quý vị cùng anh em Duy tới số 18 phố cổ Lò Sũ Hoàn Kiếm Hà Nội nhé, thưởng thức đỉnh cao ẩm thực BÚN LÒNG phố cổ ẩn sâu trong...",1539,59,UCPwScwGEE_CXVclsjQQGdUA
Hà Nội Xịn - LK (Official Audio),2019-09-01T13:00:01Z,Hà Nội Xịn - LK (Official Audio) ▷ Subscribe Kênh ngay để cập nhật những sản phẩm mới nhất: http://bit.ly/SubLK ▷ Bản quyền audio & video thuộc về LK ...,69367,1063,UCRI8JoK3U2MtHZGvbIMAr5A
